,Bike Name,Price,Rating,Specs
0,Okinawa Dual 100,"<span class=""font18"" data-bind=""text: models()[0].price"">79,813</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[0].bikemodel.reviewRateStar}"" data-rate-cl=""0""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[0].bikemodel.reviewRate ? models()[0].bikemodel.reviewRate : 'Not rated yet'"">Not rated yet</span></span>","<span data-bind=""text: models()[0].generalSpecs"">60 Kmph, 149 Km, 6 Hrs</span>"
1,Royal Enfield Hunter 350,"<span class=""font18"" data-bind=""text: models()[1].price"">1,49,900</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[1].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[1].bikemodel.reviewRate ? models()[1].bikemodel.reviewRate : 'Not rated yet'"">4.6</span></span>","<span data-bind=""text: models()[1].generalSpecs"">349 cc, 36 kmpl, 20.2 bhp, 177 kg</span>"
2,Honda Activa 6G,"<span class=""font18"" data-bind=""text: models()[2].price"">73,534</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[2].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[2].bikemodel.reviewRate ? models()[2].bikemodel.reviewRate : 'Not rated yet'"">4.1</span></span>","<span data-bind=""text: models()[2].generalSpecs"">109.51 cc, 7.68 bhp, 106 kg</span>"
3,Honda SP 125,"<span class=""font18"" data-bind=""text: models()[3].price"">82,777</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[3].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[3].bikemodel.reviewRate ? models()[3].bikemodel.reviewRate : 'Not rated yet'"">4.4</span></span>","<span data-bind=""text: models()[3].generalSpecs"">124 cc, 10.72 bhp, 117 kg</span>"
4,KTM 200 Duke,"<span class=""font18"" data-bind=""text: models()[4].price"">1,90,766</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[4].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[4].bikemodel.reviewRate ? models()[4].bikemodel.reviewRate : 'Not rated yet'"">4.8</span></span>","<span data-bind=""text: models()[4].generalSpecs"">199.5 cc, 24.67 bhp, 159 kg</span>"
5,Royal Enfield Classic 350,"<span class=""font18"" data-bind=""text: models()[5].price"">1,90,229</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[5].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[5].bikemodel.reviewRate ? models()[5].bikemodel.reviewRate : 'Not rated yet'"">4.4</span></span>","<span data-bind=""text: models()[5].generalSpecs"">349 cc, 20.2 bhp, 195 kg</span>"
6,Yamaha MT 15 V2,"<span class=""font18"" data-bind=""text: models()[6].price"">1,65,390</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[6].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[6].bikemodel.reviewRate ? models()[6].bikemodel.reviewRate : 'Not rated yet'"">4.7</span></span>","<span data-bind=""text: models()[6].generalSpecs"">155 cc, 18.1 bhp, 139 kg</span>"
7,Honda Shine,"<span class=""font18"" data-bind=""text: models()[7].price"">77,867</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[7].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[7].bikemodel.reviewRate ? models()[7].bikemodel.reviewRate : 'Not rated yet'"">4.4</span></span>","<span data-bind=""text: models()[7].generalSpecs"">123.94 cc, 10.59 bhp, 114 kg</span>"
8,TVS Raider 125,"<span class=""font18"" data-bind=""text: models()[8].price"">90,524</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[8].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[8].bikemodel.reviewRate ? models()[8].bikemodel.reviewRate : 'Not rated yet'"">4.4</span></span>","<span data-bind=""text: models()[8].generalSpecs"">124.8 cc, 11.2 bhp, 123 kg</span>"
9,Yamaha R15 V4,"<span class=""font18"" data-bind=""text: models()[9].price"">1,80,195</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[9].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[9].bikemodel.reviewRate ? models()[9].bikemodel.reviewRate : 'Not rated yet'"">4.7</span></span>","<span data-bind=""text: models()[9].generalSpecs"">155 cc, 18.1 bhp, 142 kg</span>"
